	CD8_Tex	Treg	Naive_CD4	CD8_Tem	CD4_Tem	Tfh	Naive_CD8	CD8_Tcm	CD4_Tcm	Th1	
Skin_DonorA.fcs	0.83	0.31	4.13	8.19	13.8	0.34	2.96	8.10	14.5	7.12	
Skin_DonorB.fcs	2.45	0.33	2.60	5.92	5.38	0.38	5.68	14.8	13.1	5.27	
Skin_DonorC.fcs	1.55	0.27	5.84	4.23	5.05	0.30	3.41	10.6	14.3	5.10	
LN_DonorA.fcs	1.49	0.34	9.84	4.60	7.84	0.44	10.2	7.66	15.2	6.41	
LN_DonorB.fcs	1.04	0.10	2.89	2.98	4.73	0.20	3.63	10.8	16.2	4.22	
LN_DonorC.fcs	1.33	0.34	6.72	12.1	18.7	0.37	3.60	4.54	5.27	6.02	
PBMC_DonorA.fcs	1.97	0.33	0.022	2.32	1.85	0.40	0.088	17.3	20.7	7.46	
PBMC_DonorB.fcs	0.80	0.045	4.76E-3	3.02	3.44	0.11	0.031	11.7	13.7	2.37	
PBMC_DonorC.fcs	1.25	0.30	1.42	4.48	7.31	0.36	1.73	7.67	13.8	5.77	
LN_DonorD.fcs	0.80	0.045	4.76E-3	3.02	3.45	0.11	0.031	11.7	13.7	2.37	
LN_DonorE.fcs	0.86	0.72	0.056	1.62	3.46	0.77	0.086	8.81	12.6	1.63	
LN_DonorF.fcs	1.15	0.32	0.17	2.75	2.25	0.51	0.21	14.8	11.6	1.40	
LN_DonorG.fcs	0.73	0.95	0.11	1.27	1.31	1.12	0.12	17.4	19.6	1.94	
LN_DonorH.fcs	0.78	1.33	0.13	2.26	1.60	1.47	0.096	11.4	13.6	1.84	
LN_DonorI.fcs	0.82	1.09	0.37	3.65	4.73	1.46	0.47	17.8	26.3	6.00	
LN_DonorJ.fcs	1.13	1.38	0.13	2.66	3.76	1.68	0.11	6.98	10.4	2.34	
PBMC_DonorD.fcs	1.45	0.46	1.17	5.13	18.4	0.51	0.40	0.30	0.90	4.81	
PBMC_DonorE.fcs	1.54	0.69	0.68	6.30	18.6	0.62	0.24	0.30	0.93	5.31	
PBMC_DonorF.fcs	1.96	2.41	0.33	2.23	2.81	2.60	0.53	11.6	19.1	6.65	
PBMC_DonorG.fcs	1.25	0.30	1.42	4.48	7.31	0.36	1.73	7.67	13.8	5.77	
PBMC_DonorH.fcs	2.12	3.52	0.20	2.24	3.85	3.88	0.14	15.2	21.4	6.53	
PBMC_DonorI.fcs	1.12	0.31	0.067	4.92	15.4	0.33	0.060	0.20	0.43	3.24	
PBMC_DonorJ.fcs	1.82	3.28	0.20	2.18	3.45	4.01	0.13	10.6	16.9	5.45	
Skin_DonorD.fcs	1.97	0.33	0.022	2.32	1.85	0.40	0.088	17.3	20.7	7.46	
Skin_DonorE.fcs	1.49	0.34	9.84	4.60	7.85	0.44	10.2	7.66	15.2	6.42	
Skin_DonorF.fcs	3.28	2.24	0.31	4.34	4.72	2.80	0.51	22.2	18.0	9.24	
Skin_DonorG.fcs	1.90	2.23	0.12	2.55	4.33	2.63	0.14	14.3	18.3	6.24	
Skin_DonorH.fcs	3.56	2.44	0.65	2.65	3.01	2.75	0.87	22.9	17.8	6.90	
Skin_DonorI.fcs	1.54	1.58	0.20	4.47	6.84	2.12	0.28	12.6	21.4	8.79	
Skin_DonorJ.fcs	1.52	2.32	0.33	2.92	4.37	3.01	0.21	14.3	23.5	8.07	
Mean	1.52	1.02	1.67	3.88	6.38	1.22	1.60	11.3	14.8	5.27	
SD	0.69	1.01	2.81	2.18	5.21	1.19	2.74	5.77	6.35	2.22	
